@T,table
Created,2021-06-22 11:30
Author,HortonMachine library
@H,timestamp,value_0,value_1,value_2,value_3
ID,,0,1,2,3
Type,Date,double,double,double,double
Format,yyyy-MM-dd HH:mm,,,,
,2023-01-01 00:00,-1.7499999999999998,-1.5,-1.0000000000000002,-0.5000002189498903
,2023-01-01 01:00,-1.75,-1.5,-1.0000000000000002,-0.5000030684325008
,2023-01-01 02:00,-1.75,-1.4999999999999998,-1.0000000000000002,-0.5000169358624867
,2023-01-01 03:00,-1.75,-1.4999999999999998,-1.0000000000000009,-0.5000574648450576
,2023-01-01 04:00,-1.7500000000000002,-1.4999999999999998,-1.0000000000000038,-0.5001444296808859
,2023-01-01 05:00,-1.7499999999999998,-1.4999999999999998,-1.0000000000000275,-0.5002969392157047
,2023-01-01 06:00,-1.75,-1.4999999999999998,-1.0000000000001714,-0.5005299270629837
,2023-01-01 07:00,-1.7500000000000002,-1.4999999999999998,-1.0000000000008673,-0.5008527939300415
,2023-01-01 08:00,-1.7499999999999998,-1.4999999999999998,-1.0000000000036804,-0.5012696587493213
,2023-01-01 09:00,-1.74999999999973,-1.4999999999999998,-1.0000000000134754,-0.501780387677325
,2023-01-01 10:00,-1.749999999988277,-1.4999999999999998,-1.0000000000435005,-0.5023818017626598
,2023-01-01 11:00,-1.7499999998143374,-1.4999999999999998,-1.0000000001260163,-0.5030687578015175
,2023-01-01 12:00,-1.7499999983358863,-1.4999999999999998,-1.0000000003322815,-0.5038349970981976
,2023-01-01 13:00,-1.749999989834384,-1.4999999999999998,-1.0000000008069427,-0.504673759787358
,2023-01-01 14:00,-1.7499999531284114,-1.4999999999999998,-1.0000000018226887,-0.505578202868557
,2023-01-01 15:00,-1.749999826051719,-1.4999999999999996,-1.0000000038612484,-0.5065416687080966
,2023-01-01 16:00,-1.7499994570384294,-1.4999999999999987,-1.0000000077261733,-0.5075578460401767
,2023-01-01 17:00,-1.749998528447235,-1.4999999999999953,-1.0000000146913843,-0.5086208568159267
,2023-01-01 18:00,-1.7499964532594317,-1.4999999999999818,-1.0000000266871871,-0.509725293648094
,2023-01-01 19:00,-1.7499922560247332,-1.4999999999999323,-1.000000046522778,-0.5108662254709299
,2023-01-01 20:00,-1.7499844572148593,-1.4999999999997544,-1.0000000781413836,-0.5120391836023562
,2023-01-01 21:00,-1.749970984477242,-1.4999999999991775,-1.0000001269015204,-0.5132401364471162
,2023-01-01 22:00,-1.7499491329213637,-1.4999999999974865,-1.0000001998756494,-0.5144654582941516
,2023-01-01 23:00,-1.7499155894641274,-1.4999999999928955,-1.0000003061560245,-0.5157118957364878
,2023-01-02 00:00,-1.7498665252636183,-1.4999999999813107,-1.0000004571567715,-0.5169765339323085
,2023-01-02 01:00,-1.749797747801066,-1.4999999999539302,-1.0000006669012809,-0.5182567640470619
,2023-01-02 02:00,-1.7497048945969735,-1.4999999998929665,-1.0000009522847282,-0.5195502526346487
,2023-01-02 03:00,-1.7495836451977351,-1.499999999764357,-1.0000013333027848,-0.5208549133365792
,2023-01-02 04:00,-1.7494299267940985,-1.4999999995060769,-1.0000018332392948,-0.5221688810358281
,2023-01-02 05:00,-1.7492400941087554,-1.4999999990102229,-1.0000024788075232,-0.523490488451753
,2023-01-02 06:00,-1.7490110711200053,-1.4999999980967718,-1.00000330024161,-0.524818245073043
,2023-01-02 07:00,-1.7487404465376848,-1.4999999964767359,-1.000004331336736,-0.5261508182763168
,2023-01-02 08:00,-1.7484265197042232,-1.499999993702334,-1.0000056094382586,-0.5274870164545358
,2023-01-02 09:00,-1.74806829991828,-1.4999999891020575,-1.000007175381648,-0.5288257739723629
,2023-01-02 10:00,-1.7476654612319165,-1.4999999816988618,-1.00000907338628,-0.5301661377686436
,2023-01-02 11:00,-1.7472182510758718,-1.499999970110345,-1.0000113509071649,-0.5315072554351586
,2023-01-02 12:00,-1.7467273488742885,-1.499999952430636,-1.0000140584493828,-0.5328483646129162
,2023-01-02 13:00,-1.7461936701954142,-1.4999999260946288,-1.0000172493504984,-0.5341887835607775
,2023-01-02 14:00,-1.7456181194238454,-1.4999998877262817,-1.0000209795363917,-0.5355279027650324
,2023-01-02 15:00,-1.7450012961560568,-1.4999998329736604,-1.0000253072560374,-0.5368651774719798
,2023-01-02 16:00,-1.744343167260851,-1.4999997563343481,-1.0000302928005897,-0.5382001210382386
,2023-01-02 17:00,-1.74364272954827,-1.4999996509755378,-1.0000359982118958,-0.5395322990051992
,2023-01-02 18:00,-1.7428977099961873,-1.4999995085536035,-1.000042486985174,-0.5408613238146841
,2023-01-02 19:00,-1.742104379355355,-1.499999319038056,-1.0000498237702038,-0.5421868500924715
,2023-01-02 20:00,-1.741257517159311,-1.4999990705447008,-1.0000580740748877,-0.5435085704348949
,2023-01-02 21:00,-1.7403504979075326,-1.4999987491821232,-1.0000673039745516,-0.5448262116413926
,2023-01-02 22:00,-1.739375404991654,-1.4999983389148501,-1.0000775798299106,-0.5461395313425721
,2023-01-02 23:00,-1.7383225892299752,-1.4999978214451997,-1.0000889680160758,-0.5474483149793895
,2023-01-03 00:00,-1.737178233180849,-1.499997176114359,-1.0001015346646043,-0.5487523730942199
,2023-01-03 01:00,-1.7359181092490679,-1.4999963798215192,-1.000115345420113,-0.5500515388992835
,2023-01-03 02:00,-1.7344955278774299,-1.4999954069580643,-1.000130465212622,-0.551345666091898
,2023-01-03 03:00,-1.7328234335323478,-1.4999942293521027,-1.0001469580464224,-0.5526346268896507
,2023-01-03 04:00,-1.7307546928715718,-1.499992816216717,-1.0001648868059696,-0.5539183102616536
