@T,table
Created,2021-10-02 11:38
Author,HortonMachine library
@H,timestamp,value_0,value_1
ID,,0,1
Type,Date,double,double
Format,yyyy-MM-dd HH:mm,,
,2023-01-01 00:00,0.2858776910433882,0.3144929458693526
,2023-01-01 01:00,0.2858776910433882,0.3144929458693525
,2023-01-01 02:00,0.2858776910433882,0.31449294586934995
,2023-01-01 03:00,0.2858776910433882,0.3144929458693213
,2023-01-01 04:00,0.2858776910433882,0.3144929458691158
,2023-01-01 05:00,0.2858776910433882,0.31449294586803883
,2023-01-01 06:00,0.2858776910433882,0.3144929458636027
,2023-01-01 07:00,0.2858776910433882,0.3144929458485133
,2023-01-01 08:00,0.28587769104338834,0.3144929458045748
,2023-01-01 09:00,0.2858776910434476,0.3144929456920434
,2023-01-01 10:00,0.28587769104571137,0.31449294543319195
,2023-01-01 11:00,0.2858776910768497,0.31449294488949825
,2023-01-01 12:00,0.2858776913173374,0.3144929438327881
,2023-01-01 13:00,0.28587769257751106,0.31449294191164645
,2023-01-01 14:00,0.28587769755122616,0.314492938615214
,2023-01-01 15:00,0.28587771334683615,0.31449293323695393
,2023-01-01 16:00,0.2858777555830763,0.31449292484106306
,2023-01-01 17:00,0.28587785384120534,0.31449291223392606
,2023-01-01 18:00,0.2858780576693414,0.3144928939424884
,2023-01-01 19:00,0.28587844189788714,0.31449286820076017
,2023-01-01 20:00,0.2858791099260444,0.31449283294497593
,2023-01-01 21:00,0.28588019391393593,0.31449278581730844
,2023-01-01 22:00,0.2858818513758141,0.3144927241775214
,2023-01-01 23:00,0.28588425836204084,0.3144926451215777
,2023-01-02 00:00,0.28588760008335334,0.3144925455059868
,2023-01-02 01:00,0.2858920602540448,0.31449242197657135
,2023-01-02 02:00,0.2858978105472534,0.3144922710003294
,2023-01-02 03:00,0.2859050014164646,0.31449208889914865
,2023-01-02 04:00,0.28591375513351164,0.3144918718842502
,2023-01-02 05:00,0.285924161396099,0.31449161609040277
,2023-01-02 06:00,0.28593627548833256,0.3144913176091154
,2023-01-02 07:00,0.28595011875458565,0.3144909725201869
,2023-01-02 08:00,0.2859656810765503,0.31449057692115273
,2023-01-02 09:00,0.28598292510717216,0.31449012695431167
,2023-01-02 10:00,0.28600179210709364,0.3144896188311436
,2023-01-02 11:00,0.2860222093504857,0.31448904885403395
,2023-01-02 12:00,0.28604409915738105,0.3144884134353068
,2023-01-02 13:00,0.2860673895699951,0.31448770911363855
,2023-01-02 14:00,0.28609202647598775,0.3144869325679694
,2023-01-02 15:00,0.2861179865791217,0.31448608062907274
,2023-01-02 16:00,0.28614528997527156,0.3144851502889579
,2023-01-02 17:00,0.28617401021851563,0.3144841387082985
,2023-01-02 18:00,0.2862042797269054,0.31448304322208
,2023-01-02 19:00,0.2862362891422598,0.3144818613436564
,2023-01-02 20:00,0.2862702793603965,0.3144805907673986
,2023-01-02 21:00,0.2863065285715716,0.3144792293701039
,2023-01-02 22:00,0.2863453456958599,0.3144777752113228
,2023-01-02 23:00,0.286387094376694,0.3144762265327443
,2023-01-03 00:00,0.2864322910291416,0.31447458175676757
,2023-01-03 01:00,0.28648181722872945,0.3144728394843721
,2023-01-03 02:00,0.2865372466050076,0.3144709984923887
,2023-01-03 03:00,0.28660123376135543,0.31446905773026235
,2023-01-03 04:00,0.2866778333763189,0.31446701631638946
,2023-01-03 05:00,0.2867725837176672,0.31446487353410835
,2023-01-03 06:00,0.2868922543651766,0.31446262882741494
,2023-01-03 07:00,0.2870441253574584,0.31446028179647695
,2023-01-03 08:00,0.28723509247625545,0.3144578321930177
,2023-01-03 09:00,0.2874706322374301,0.31445527991564726
,2023-01-03 10:00,0.2877536458015896,0.31445262500522414
,2023-01-03 11:00,0.2880834501871206,0.31444986764034955
,2023-01-03 12:00,0.2884573819593582,0.31444700813311793
,2023-01-03 13:00,0.28887037408766886,0.31444404692528716
,2023-01-03 14:00,0.2893159396703237,0.3144409845850819
,2023-01-03 15:00,0.28978684202501853,0.3144378218049045
,2023-01-03 16:00,0.29027572154704506,0.3144345594003009
,2023-01-03 17:00,0.2907756365928583,0.3144311983105975
,2023-01-03 18:00,0.2912803218840214,0.314427739601683
,2023-01-03 19:00,0.2917843845589229,0.3144241844714419
,2023-01-03 20:00,0.29228333881251645,0.3144205342583437
,2023-01-03 21:00,0.29277357199033105,0.3144167904536359
,2023-01-03 22:00,0.293252276828026,0.3144129547174861
,2023-01-03 23:00,0.29371734647266695,0.31440902889925926
,2023-01-04 00:00,0.2941672696012674,0.31440501506191804
,2023-01-04 01:00,0.2946010318960965,0.3144009155103018
,2023-01-04 02:00,0.29501802144027917,0.31439673282279973
,2023-01-04 03:00,0.2954179469724231,0.3143924698856991
,2023-01-04 04:00,0.2958007701435895,0.31438812992928417
,2023-01-04 05:00,0.296166647577843,0.31438371656459685
,2023-01-04 06:00,0.2965158825872376,0.31437923381966293
,2023-01-04 07:00,0.2968488873373918,0.3143746861739419
,2023-01-04 08:00,0.29716615498334953,0.3143700785897714
,2023-01-04 09:00,0.297468244635659,0.31436541653965744
,2023-01-04 10:00,0.2977557850331539,0.31436070602838284
,2023-01-04 11:00,0.29802950020437347,0.31435595360907753
,2023-01-04 12:00,0.29829025372603235,0.31435116639258726
,2023-01-04 13:00,0.29853910087983454,0.3143463520496931
,2023-01-04 14:00,0.2987773300885005,0.3143415188059493
,2023-01-04 15:00,0.29900647108794387,0.3143366754291179
,2023-01-04 16:00,0.2992282535444586,0.3143318312093767
,2023-01-04 17:00,0.29944451553329565,0.31432699593265256
