@T,table
Created,2021-10-02 11:38
Author,HortonMachine library
@H,timestamp,value_0,value_1
ID,,0,1
Type,Date,double,double
Format,yyyy-MM-dd HH:mm,,
,2023-01-01 00:00,-1.7500000000000002,-1.3999999999999992
,2023-01-01 01:00,-1.7500000000000009,-1.4000000000000028
,2023-01-01 02:00,-1.7500000000000002,-1.4000000000000699
,2023-01-01 03:00,-1.7500000000000009,-1.4000000000008224
,2023-01-01 04:00,-1.7500000000000009,-1.400000000006224
,2023-01-01 05:00,-1.7500000000000004,-1.400000000034535
,2023-01-01 06:00,-1.7500000000000002,-1.4000000001511457
,2023-01-01 07:00,-1.7499999999999998,-1.400000000547799
,2023-01-01 08:00,-1.7499999999999978,-1.4000000017027991
,2023-01-01 09:00,-1.7499999999986438,-1.40000000466089
,2023-01-01 10:00,-1.7499999999469544,-1.4000000114652624
,2023-01-01 11:00,-1.7499999992359276,-1.4000000257572247
,2023-01-01 12:00,-1.7499999937445256,-1.400000053534744
,2023-01-01 13:00,-1.7499999649691707,-1.4000001040353918
,2023-01-01 14:00,-1.7499998513971935,-1.4000001906880277
,2023-01-01 15:00,-1.74999949071341,-1.4000003320652437
,2023-01-01 16:00,-1.749998526273272,-1.400000552766326
,2023-01-01 17:00,-1.7499962826080278,-1.400000884167644
,2023-01-01 18:00,-1.7499916283257013,-1.400001364991186
,2023-01-01 19:00,-1.7499828547563934,-1.4000020416593677
,2023-01-01 20:00,-1.749967600956641,-1.400002968422334
,2023-01-01 21:00,-1.7499428494281546,-1.4000042072604504
,2023-01-01 22:00,-1.7499050041020148,-1.4000058275781222
,2023-01-01 23:00,-1.749850046328317,-1.4000079057148391
,2023-01-02 00:00,-1.7497737493889327,-1.4000105243054202
,2023-01-02 01:00,-1.7496719223596624,-1.4000137715241565
,2023-01-02 02:00,-1.7495406514537983,-1.400017740247638
,2023-01-02 03:00,-1.7493765101312029,-1.400022527168997
,2023-01-02 04:00,-1.749176718471307,-1.4000282318930253
,2023-01-02 05:00,-1.748939243675683,-1.4000349560374206
,2023-01-02 06:00,-1.7486628420323447,-1.4000428023609415
,2023-01-02 07:00,-1.7483470478067322,-1.4000518739348167
,2023-01-02 08:00,-1.7479921161735625,-1.4000622733694976
,2023-01-02 09:00,-1.747598925884627,-1.4000741021050485
,2023-01-02 10:00,-1.7471688453039622,-1.4000874597701622
,2023-01-02 11:00,-1.7467035627048606,-1.4001024436119922
,2023-01-02 12:00,-1.7462048796905913,-1.4001191479967179
,2023-01-02 13:00,-1.7456744675227043,-1.4001376639789949
,2023-01-02 14:00,-1.7451135910356668,-1.4001580789371115
,2023-01-02 15:00,-1.7445228139684517,-1.400180476269725
,2023-01-02 16:00,-1.7439017141211115,-1.4002049351494736
,2023-01-02 17:00,-1.7432486565130396,-1.4002315303284505
,2023-01-02 18:00,-1.7425606733620205,-1.400260331990425
,2023-01-02 19:00,-1.7418334821548835,-1.4002914056448001
,2023-01-02 20:00,-1.7410616706154676,-1.4003248120575293
,2023-01-02 21:00,-1.7402389949741044,-1.4003606072145
,2023-01-02 22:00,-1.7393585329439505,-1.4003988423133007
,2023-01-02 23:00,-1.738412144356693,-1.400439563779631
,2023-01-03 00:00,-1.737388257649038,-1.4004828133050229
,2023-01-03 01:00,-1.7362670799017303,-1.4005286279028963
,2023-01-03 02:00,-1.7350132451356073,-1.4005770399802695
,2023-01-03 03:00,-1.7335671150248364,-1.4006280774227453
,2023-01-03 04:00,-1.7318377480258478,-1.4006817636905675
,2023-01-03 05:00,-1.7297013198849756,-1.4007381179237306
,2023-01-03 06:00,-1.7270072836794694,-1.4007971550542082
,2023-01-03 07:00,-1.7235952349392385,-1.4008588859233904
